;id_labdoc;n_users;durée_écriture;plage_travail;passage_main
401;440005;2;280.0;323239.0;1
402;269380;2;940.0;3558.0;1
403;269394;3;120.0;1175.0;2
405;436207;2;720.0;6136.0;1
408;436217;2;620.0;1221.0;1
417;436239;2;540.0;1366.0;1
418;446667;2;360.0;71485.0;2
419;436242;2;780.0;75768.0;2
422;446674;2;940.0;73153.0;6
424;269402;3;800.0;2048.0;6
425;436249;2;300.0;3559.0;2
427;436247;2;640.0;6493.0;1
429;440114;2;380.0;3222.0;1
430;439990;3;440.0;1239.0;2
431;439989;2;520.0;4738.0;2
432;270955;2;420.0;2262.0;1
433;269848;2;200.0;492.00000000000006;1
440;444205;2;980.0;416681.0;1
444;436225;2;240.0;3976.0000000000005;1
446;270939;3;460.0;802.0;2
455;270944;3;1360.0;4505.0;7
456;270945;3;780.0;2320.0;3
458;427499;2;120.0;582898.0;1
460;427490;2;260.0;319302.0;1
461;427474;2;120.0;355699.0;1
463;432919;2;1280.0;20646.0;1
466;427472;2;620.0;355802.0;1
468;396891;2;1120.0;594393.0;1
473;428756;2;1220.0;181107.0;2
475;428778;3;440.0;179433.0;3
476;431174;2;1020.0;4050.0000000000005;3
477;427628;2;340.0;473452.00000000006;1
478;427501;2;560.0;498074.00000000006;1
479;427537;4;1480.0;500410.00000000006;4
481;430280;2;800.0;72474.0;1
482;428910;3;660.0;168293.0;2
492;432418;2;600.0;4141.0;1
494;431928;2;100.0;25233.0;1
499;432464;2;440.0;1934.0000000000002;1
502;428467;2;660.0;542177.0;3
503;428483;2;1360.0;544653.0;4
504;427859;3;1040.0;546211.0;2
505;427850;2;460.0;130506.00000000001;1
506;428392;2;340.0;101000.0;1
507;431559;3;540.0;332977.0;3
509;431562;3;860.0;333376.0;3
511;431568;2;1260.0;334458.0;2
512;431560;2;760.0;333173.0;2
513;429922;2;1120.0;445064.0;1
514;427296;3;1760.0;603126.0;2
515;434855;2;380.0;907.0;1
516;428469;3;460.0;540197.0;2
517;433401;2;320.0;156303.0;1
518;433418;2;200.0;155423.0;1
519;434889;3;380.0;73510.0;1
520;435270;2;720.0;57968.0;1
521;435261;4;800.0;61860.00000000001;6
522;434402;5;1340.0;139794.0;6
523;434400;2;520.0;137966.0;3
524;434013;2;1240.0;79723.0;2
525;434045;3;620.0;93162.0;2
526;434014;2;120.0;6553.0;1
528;432210;2;380.0;276640.0;2
530;432208;2;920.0;277709.0;2
532;432228;2;480.0;279088.0;2
537;435327;3;500.0;14473.0;3
538;435471;3;500.0;10698.0;2
539;435554;2;280.0;7115.0;1
540;435511;2;720.0;58281.0;1
541;435409;3;500.0;12028.0;2
542;435436;3;340.0;11019.0;2
543;435390;3;360.0;11783.0;2
544;434934;2;1300.0;23609.0;3
545;435613;2;240.0;1387.0;1
546;435541;2;160.0;4170.0;1
547;435505;2;220.0;9832.0;1
549;428046;2;1040.0;592681.0;2
551;434011;3;700.0;86424.0;3
554;431623;2;1340.0;71231.0;2
556;428839;3;120.0;516347.00000000006;1
558;428800;3;360.0;517114.00000000006;4
559;428053;3;620.0;522507.00000000006;2
560;434209;3;560.0;12664.0;2
562;428825;2;540.0;476868.00000000006;1
563;434426;2;960.0;3465.0;1
566;428173;3;580.0;584343.0;3
568;428185;3;660.0;422502.0;2
569;427992;3;1020.0;633712.0;4
572;428166;2;140.0;581809.0;1
575;428122;3;1280.0;606760.0;4
576;434486;2;280.0;56611.0;2
578;427995;2;360.0;612884.0;1
579;431349;2;480.0;363543.0;1
581;431471;2;120.0;362331.0;1
585;431637;2;760.0;89695.0;2
586;428943;2;700.0;288729.0;3
587;428947;3;640.0;292199.0;1
589;431629;2;940.0;23891.0;3
591;429887;2;560.0;345978.0;1
592;427576;2;840.0;350968.0;1
593;433541;5;2100.0;351487.0;7
595;429880;3;580.0;365923.0;3
596;429883;4;1580.0;463073.0;3
597;433460;3;1380.0;404260.0;5
598;432303;2;760.0;272778.0;1
600;434870;2;660.0;18754.0;1
602;434223;2;1120.0;78515.0;1
604;432615;3;620.0;237962.00000000003;2
606;434171;2;1540.0;83081.0;1
607;431558;3;1720.0;337241.0;2
608;428840;2;400.0;527469.0;1
609;431968;3;920.0;270719.0;2
610;432593;3;280.0;239053.00000000003;1
611;431971;2;960.0;271041.0;1
612;431970;2;1020.0;270950.0;1
614;432552;3;600.0;240473.00000000003;2
615;430784;3;2020.0;327049.0;2
616;427729;2;760.0;446266.0;1
617;430785;2;880.0;404012.0;3
618;427728;2;160.0;282454.0;1
625;428446;3;1300.0;465585.0;3
627;434132;2;380.0;2734.0;1
629;429649;3;1380.0;519590.00000000006;3
630;429632;4;720.0;523055.00000000006;8
632;428466;2;600.0;121131.00000000001;2
633;395535;2;740.0;548864.0;1
634;429631;5;1320.0;518881.00000000006;8
636;429606;3;1600.0;512344.00000000006;7
637;429630;3;1060.0;508671.00000000006;5
638;429642;2;1120.0;73471.0;1
639;427141;2;1180.0;461966.0;2
641;430655;3;920.0;436886.0;2
643;427142;2;540.0;462374.0;2
645;429577;3;1560.0;524554.0;4
646;428718;2;240.0;559902.0;1
647;434466;3;1780.0;84524.0;4
648;433507;2;520.0;52813.0;1
