,id_mission,id_report,id_labdoc,id_trace,n_users,n_mots,indice_collab,indice_contrib
71069,1289,29837,274969,4350013,1,96,0.0,0.0
71071,1289,29837,275205,4363034,1,60,0.0,0.0
71072,1289,29837,274972,4351529,1,109,0.0,0.0
71076,1289,29837,274973,4362252,1,50,0.0,0.0
71080,1289,29837,274977,4358346,1,93,0.0,0.0
71083,1289,29837,274965,4349253,1,143,0.0,0.0
71084,1289,29837,274980,4356944,1,77,0.0,0.0
71091,1289,30092,277135,4425240,1,98,0.0,0.0
71095,1289,30092,278915,4425652,1,93,0.0,0.0
71111,1289,30092,277124,4406775,1,109,0.0,0.0
71120,1289,30092,277126,4397062,1,111,0.0,0.0
71131,1289,30092,277122,4393659,1,226,0.0,0.0
71134,1289,30092,277131,4424367,1,114,0.0,0.0
71135,1289,30092,277138,4424603,1,42,0.0,0.0
71139,1289,30092,277129,4397933,1,28,0.0,0.0
71143,1289,30092,277130,4406846,1,91,0.0,0.0
71144,1289,30103,279083,4421861,1,40,0.0,0.0
71145,1289,30103,277332,4396531,1,72,0.0,0.0
71146,1289,30103,277343,4412513,1,64,0.0,0.0
71148,1289,30103,277338,4399026,1,92,0.0,0.0
71151,1289,30103,277339,4411071,1,32,0.0,0.0
71152,1289,30103,277330,4393084,1,146,0.0,0.0
71155,1289,30103,277346,4421567,1,38,0.0,0.0
71157,1289,30103,277337,4398083,1,26,0.0,0.0
71158,1289,30151,278599,4411978,1,12,0.0,0.0
71162,1289,30151,278352,4409059,1,84,0.0,0.0
71163,1289,30151,278364,4412009,1,34,0.0,0.0
71166,1289,30151,278350,4408164,1,95,0.0,0.0
71167,1289,30151,278348,4407309,1,135,0.0,0.0
71169,1289,30151,278355,4409540,1,16,0.0,0.0
71170,1289,30151,278361,4410982,1,68,0.0,0.0
71174,1289,30151,278356,4410401,1,70,0.0,0.0
71181,1289,30104,277349,4393673,1,233,0.0,0.0
71190,1289,30104,277351,4394624,1,118,0.0,0.0
71195,1289,30104,277358,4411168,1,85,0.0,0.0
71197,1289,30104,278499,4409994,1,40,0.0,0.0
71201,1289,30104,277353,4395421,1,138,0.0,0.0
71206,1289,30104,277365,4411268,1,42,0.0,0.0
71208,1289,30104,277357,4397454,1,113,0.0,0.0
71212,1289,30104,277356,4396846,1,30,0.0,0.0
71216,1289,30104,277362,4411248,1,95,0.0,0.0
71219,1289,30101,277298,4393768,1,111,0.0,0.0
71220,1289,30101,277656,4399208,1,67,0.0,0.0
71223,1289,30101,277307,4399370,1,180,0.0,0.0
71226,1289,30101,277296,4393374,1,91,0.0,0.0
71228,1289,30101,277303,4396564,1,38,0.0,0.0
71230,1289,30101,277302,4395693,1,113,0.0,0.0
71231,1289,30101,277310,4398958,1,51,0.0,0.0
71232,1289,30101,277294,4391224,1,221,0.0,0.0
71235,1289,30101,277301,4395394,1,23,0.0,0.0
71236,1289,30147,278328,4412025,1,36,0.0,0.0
71240,1289,30147,278321,4412477,1,72,0.0,0.0
71242,1289,30147,278320,4411773,1,80,0.0,0.0
71245,1289,30147,278316,4408254,1,113,0.0,0.0
71247,1289,30147,278314,4407823,1,73,0.0,0.0
71248,1289,30147,278319,4409123,1,29,0.0,0.0
71249,1289,30147,278325,4412746,1,93,0.0,0.0
71250,1289,30147,278312,4407199,1,244,0.0,0.0
71251,1289,30291,279604,4462527,1,86,0.0,0.0
71252,1289,30291,281075,4463072,1,150,0.0,0.0
71255,1289,30291,279607,4462061,1,88,0.0,0.0
71259,1289,30291,279595,4459944,1,166,0.0,0.0
71260,1289,30291,279591,4458815,1,233,0.0,0.0
71261,1289,30291,279598,4462536,1,14,0.0,0.0
71262,1289,30291,279599,4462755,1,93,0.0,0.0
71264,1289,30291,279602,4462924,1,235,0.0,0.0
71268,1289,30291,279600,4462834,1,79,0.0,0.0
71271,1289,30291,279593,4459403,1,87,0.0,0.0
71274,1289,30153,278388,4408750,1,158,0.0,0.0
71276,1289,30153,278399,4413036,1,91,0.0,0.0
71278,1289,30153,278390,4408987,1,132,0.0,0.0
71279,1289,30153,278393,4409941,1,56,0.0,0.0
71283,1289,30153,278386,4407761,1,198,0.0,0.0
71285,1289,30153,278402,4413622,1,29,0.0,0.0
71286,1289,30153,278395,4411558,1,71,0.0,0.0
71287,1289,30153,278394,4410199,1,127,0.0,0.0
71289,1289,30150,278293,4407416,1,264,0.0,0.0
71292,1289,30150,278306,4412645,1,92,0.0,0.0
71293,1289,30150,278600,4411837,1,92,0.0,0.0
71298,1289,30150,278295,4408981,1,111,0.0,0.0
71299,1289,30150,278309,4411992,1,35,0.0,0.0
71301,1289,30150,278300,4409362,1,46,0.0,0.0
71302,1289,30150,278301,4410448,1,106,0.0,0.0
71306,1289,30150,278297,4409009,1,129,0.0,0.0
71307,1289,30150,278302,4412417,1,69,0.0,0.0
71311,1348,31797,292319,4795731,1,147,0.0,0.0
71320,1348,31797,292289,4795047,1,430,0.0,0.0
